origin,dest,weight
Kurunegala,Monaragala,1484
Kurunegala,Ratnapura,3098
Kurunegala,Kegalle,16173
Puttalam,Colombo,9787
Puttalam,Gampaha,28488
Puttalam,Kalutara,2625
Puttalam,Kandy,2739
Puttalam,Matale,882
Puttalam,Nuwara Eliya,506
Puttalam,Galle,1289
Puttalam,Matara,674
Puttalam,Hambantota,510
Puttalam,Jaffna,1732
Puttalam,Mannar,10443
Puttalam,Vavuniya,859
Puttalam,Mullaitivu,2111
Puttalam,Kilinochchi,567
Puttalam,Baticaloa,545
Puttalam,Ampara,773
Puttalam,Trincomalee,1504
Puttalam,Kurunegala,27667
Puttalam,Anuradhapura,4505
Puttalam,Polonnaruwa,1418
Puttalam,Badulla,714
Puttalam,Monaragala,305
Puttalam,Ratnapura,948
Puttalam,Kegalle,1458
Anuradhapura,Colombo,15324
Anuradhapura,Gampaha,25296
Anuradhapura,Kalutara,4729
Anuradhapura,Kandy,10753
Anuradhapura,Matale,8696
Anuradhapura,Nuwara Eliya,1489
Anuradhapura,Galle,2824
Anuradhapura,Matara,1523
Anuradhapura,Hambantota,1187
Anuradhapura,Jaffna,399
Anuradhapura,Mannar,1178
Anuradhapura,Vavuniya,6369
Anuradhapura,Mullaitivu,1713
Anuradhapura,Kilinochchi,110
Anuradhapura,Baticaloa,647
Anuradhapura,Ampara,1609
Anuradhapura,Trincomalee,7328
Anuradhapura,Kurunegala,20093
Anuradhapura,Puttalam,7241
Anuradhapura,Polonnaruwa,6490
Anuradhapura,Badulla,1910
Anuradhapura,Monaragala,1012
Anuradhapura,Ratnapura,2021
Anuradhapura,Kegalle,4428
Polonnaruwa,Colombo,6912
Polonnaruwa,Gampaha,10516
Polonnaruwa,Kalutara,2181
Polonnaruwa,Kandy,9022
Polonnaruwa,Matale,5999
Polonnaruwa,Nuwara Eliya,1714
Polonnaruwa,Galle,1375
Polonnaruwa,Matara,846
Polonnaruwa,Hambantota,729
Polonnaruwa,Jaffna,92
Polonnaruwa,Mannar,106
Polonnaruwa,Vavuniya,195
Polonnaruwa,Mullaitivu,529
Polonnaruwa,Kilinochchi,61
Polonnaruwa,Baticaloa,1515
Polonnaruwa,Ampara,2359
Polonnaruwa,Trincomalee,1487
Polonnaruwa,Kurunegala,7431
Polonnaruwa,Puttalam,1393
Polonnaruwa,Anuradhapura,6615
Polonnaruwa,Badulla,1554
Polonnaruwa,Monaragala,718
Polonnaruwa,Ratnapura,1184
Polonnaruwa,Kegalle,4409
Badulla,Colombo,40693
Badulla,Gampaha,25354
Badulla,Kalutara,6801
Badulla,Kandy,14607
Badulla,Matale,2312
Badulla,Nuwara Eliya,15185
Badulla,Galle,3665
Badulla,Matara,2702
Badulla,Hambantota,2885
Badulla,Jaffna,481
Badulla,Mannar,274
Badulla,Vavuniya,576
Badulla,Mullaitivu,187
Badulla,Kilinochchi,54
Badulla,Baticaloa,2545
Badulla,Ampara,13613
Badulla,Trincomalee,914
Badulla,Kurunegala,4699
Badulla,Puttalam,2092
Badulla,Anuradhapura,3343
Badulla,Polonnaruwa,6184
Badulla,Monaragala,30387
Badulla,Ratnapura,8664
Badulla,Kegalle,3678
Monaragala,Colombo,12326
Monaragala,Gampaha,9073
Monaragala,Kalutara,3145
Monaragala,Kandy,2818
Monaragala,Matale,594
Monaragala,Nuwara Eliya,954
Monaragala,Galle,2690
Monaragala,Matara,2759
Monaragala,Hambantota,5906
Monaragala,Jaffna,102
Monaragala,Mannar,101
Monaragala,Vavuniya,216
Monaragala,Mullaitivu,68
Monaragala,Kilinochchi,78
Monaragala,Baticaloa,630
Monaragala,Ampara,6731
Monaragala,Trincomalee,278
Monaragala,Kurunegala,1886
Monaragala,Puttalam,648
Monaragala,Anuradhapura,1365
Monaragala,Polonnaruwa,1652
Monaragala,Badulla,14199
Monaragala,Ratnapura,4477
Monaragala,Kegalle,1624
Ratnapura,Colombo,52125
Ratnapura,Gampaha,25749
Ratnapura,Kalutara,19689
Ratnapura,Kandy,6222
Ratnapura,Matale,1578
Ratnapura,Nuwara Eliya,3977
Ratnapura,Galle,6154
Ratnapura,Matara,7379
Ratnapura,Hambantota,9376
Ratnapura,Jaffna,240
Ratnapura,Mannar,133
Ratnapura,Vavuniya,497
Ratnapura,Mullaitivu,116
Ratnapura,Kilinochchi,65
Ratnapura,Baticaloa,344
Ratnapura,Ampara,2900
Ratnapura,Trincomalee,829
Ratnapura,Kurunegala,4748
Ratnapura,Puttalam,2284
Ratnapura,Anuradhapura,3115
Ratnapura,Polonnaruwa,2358
Ratnapura,Badulla,6868
Ratnapura,Monaragala,10049
Ratnapura,Kegalle,12475
Kegalle,Colombo,36852
Kegalle,Gampaha,41033
Kegalle,Kalutara,6196
Kegalle,Kandy,22374
Kegalle,Matale,3876
Kegalle,Nuwara Eliya,5261
Kegalle,Galle,2790
Kegalle,Matara,1625
Kegalle,Hambantota,1434
Kegalle,Jaffna,186
Kegalle,Mannar,178
Kegalle,Vavuniya,832
Kegalle,Mullaitivu,197
Kegalle,Kilinochchi,64
Kegalle,Baticaloa,324
Kegalle,Ampara,7144
Kegalle,Trincomalee,1500
Kegalle,Kurunegala,24687
Kegalle,Puttalam,3292
Kegalle,Anuradhapura,10368
Kegalle,Polonnaruwa,14889
Kegalle,Badulla,2915
Kegalle,Monaragala,3261
Kegalle,Ratnapura,14466
