origin,dest,weight
0293,0289,100
0293,0344,100
0293,0363,100
0293,1507,100
0293,1705,100
0293,1734,100
0293,1955,100
0294,0141,100
0294,0150,100
0294,0158,100
0294,0164,100
0294,0200,100
0294,0262,100
0294,0301,100
0294,0893,100
0294,0983,100
0294,1883,100
0294,1955,100
0296,0153,100
0296,0222,100
0296,0274,100
0296,0275,100
0296,0289,100
0296,0297,100
0296,0344,100
0296,0363,100
0296,0394,100
0296,0518,100
0296,0599,100
0296,0756,100
0296,0758,100
0296,0815,100
0296,0855,100
0296,0856,100
0296,0907,100
0296,0917,100
0296,0935,100
0296,0944,100
0296,1705,100
0296,1894,100
0297,0216,100
0297,0268,100
0297,0356,100
0297,0363,100
0297,0518,100
0297,0545,100
0297,0614,100
0297,0733,100
0297,0758,100
0297,0797,100
0297,0828,100
0297,0867,100
0297,0870,100
0297,0873,100
