origin,dest,km,days,expense,type,weight
50132,50010,70.188,2.34,2.457,road,2457
50132,50015,38.851,1.295,1.36,road,1360
50132,50205,17.927,0.598,0.627,road,627
50133,50160,138.849,4.628,4.86,road,4860
50133,50240,64.738,2.158,2.266,road,2266
50133,50471,37.407,0.312,0.127,fastdown,127
50134,50286,131.662,0.895,0.09,coastal,90
50134,50307,195.869,1.577,0.158,coastal,158
50134,50327,126.445,4.215,4.426,road,4426
50134,50761,104.54,0.948,0.095,coastal,95
50135,50120,90.542,3.018,3.169,road,3169
50135,50362,34.038,1.135,1.191,road,1191
50136,50256,8.914,0.125,0.012,coastal,12
50136,50322,6.401,0.213,0.224,road,224
50136,50357,66.419,0.553,0.055,coastal,55
50137,50083,80.862,2.695,2.83,road,2830
50137,50127,148.756,4.959,5.206,road,5206
50138,50141,74.476,2.483,2.607,road,2607
50138,50320,99.743,3.325,3.491,road,3491
50138,50545,16.068,0.536,0.562,road,562
50139,50072,73.416,2.447,2.57,road,2570
50139,50428,102.466,3.416,3.586,road,3586
50139,50767,93.983,3.133,3.289,road,3289
50140,50080,122.77,4.092,4.297,road,4297
50140,50190,77.471,2.582,2.711,road,2711
50140,50215,112.332,3.744,3.932,road,3932
50140,50388,41.416,1.381,1.45,road,1450
50141,50112,296.771,9.892,10.387,road,10387
50141,50138,74.476,2.483,2.607,road,2607
50141,50545,104.584,1.007,0.101,coastal,101
50141,50551,65.052,0.456,0.046,coastal,46
50142,50059,125.776,4.193,4.402,road,4402
50142,50061,94.326,3.144,3.301,road,3301
50142,50115,185.679,6.189,6.499,road,6499
50143,50386,82.347,2.745,2.882,road,2882
50143,50466,77.055,2.569,2.697,road,2697
50143,50467,76.593,0.541,0.054,coastal,54
50143,50549,75.976,0.404,0.04,coastal,40
50144,50183,60.928,2.031,2.132,road,2132
50144,50772,26.521,0.884,0.928,road,928
50145,50332,197.378,1.235,0.124,coastal,124
50145,50379,82.659,0.495,0.049,coastal,49
50146,50129,275.04,9.168,9.626,road,9626
50146,50247,130.91,4.364,4.582,road,4582
50146,50751,189.485,6.316,6.632,road,6632
50147,50156,815.571,5.58,0.558,overseas,558
50147,50207,548.639,3.791,0.379,coastal,379
50147,50240,242.11,1.382,0.138,coastal,138
50147,50249,56.567,1.886,1.98,road,1980
50147,50421,64.287,2.143,2.25,road,2250
50148,50221,22.395,0.746,0.784,road,784
50148,50222,69.677,2.323,2.439,road,2439
50149,50375,36.068,1.443,0.245,upstream,245
50149,50392,87.076,2.903,3.048,road,3048
50150,50130,43.768,0.438,0.149,downstream,149
50150,50258,252.036,8.401,8.821,road,8821
50150,50674,58.307,1.166,0.396,fastup,396
50151,50345,58.514,1.95,2.048,road,2048
